account_id,agent_id,assigned_date
A001,CA001,2023-01-10
A002,CA002,2023-03-15
A003,CA003,2021-08-01
above,public,side
nice,yard,ok
near,same,her
nearly,PM,account
people,course,kind
board,develop,agent
you,significant,direction
course,federal,understand
indicate,than,type
political,once,trouble
movement,share,car
painting,myself,front
each,brother,lay
yard,state,myself
truth,contain,hope
four,really,bad
through,story,wish
type,decade,charge
structure,need,tough
fear,green,important
teach,idea,road
single,consumer,look
fact,their,manage
respond,benefit,federal
for,own,civil
writer,throughout,evening
board,local,kitchen
night,third,imagine
look,north,then
place,begin,large
beat,get,hundred
push,write,main
operation,figure,lose
same,charge,hold
read,fall,always
painting,soldier,exist
page,from,talk
military,white,mean
discover,community,accept
development,follow,trouble
war,particularly,skill
article,nature,within
reveal,peace,recently
show,manager,also
above,debate,cultural
case,agency,woman
today,make,tell
case,walk,price
enjoy,similar,interesting
hand,of,sign
piece,experience,away
business,mention,strategy
generation,bill,chance
star,strong,shake
drop,community,line
rock,product,top
office,star,probably
election,own,relationship
explain,necessary,stop
quickly,president,new
sort,speech,expert
citizen,manager,good
big,thus,seat
capital,color,star
talk,color,lot
lead,husband,pressure
natural,man,long
national,dog,now
represent,within,sell
son,official,television
citizen,kid,alone
wrong,on,former
someone,education,physical
rest,protect,sure
give,tonight,both
reality,population,class
kind,table,success
walk,stuff,crime
bit,drop,people
executive,image,growth
style,this,good
everybody,debate,staff
floor,president,science
source,behavior,design
return,from,future
life,former,explain
too,thank,scene
wife,buy,try
call,young,law
fine,give,movie
child,them,eye
become,gas,smile
east,cultural,point
fine,prove,particular
either,these,window
the,well,else
stand,student,gun
radio,five,remember
difference,expert,name
political,meet,task
forget,bring,how
president,rather,nature
more,want,customer
this,reveal,thing
expect,subject,move
answer,good,because
it,industry,left
someone,college,newspaper
land,back,child
perhaps,give,want
cost,hotel,high
war,author,cultural
day,three,watch
economic,letter,bar
wonder,we,front
begin,light,color
personal,leader,there
within,stay,write
believe,organization,church
cell,safe,the
I,heart,age
option,discover,sell
attention,skill,boy
guess,drop,garden
argue,his,student
everybody,your,others
always,brother,hard
defense,approach,standard
inside,right,state
good,section,usually
sense,sister,major
less,wife,point
shoulder,benefit,already
under,under,hair
good,themselves,less
share,human,week
soon,outside,manage
still,science,even
as,against,current
cell,machine,wonder
near,after,offer
gas,provide,market
policy,science,fund
process,contain,thus
of,center,table
which,race,activity
between,west,cover
generation,paper,challenge
half,traditional,mind
whose,effect,near
threat,sell,part
begin,ground,somebody
image,outside,official
relationship,western,eight
she,business,discover
institution,inside,include
sea,water,some
theory,amount,bag
even,reduce,every
find,thus,nearly
item,daughter,bill
land,agency,town
plan,place,successful
wish,rule,nature
wrong,green,and
thus,science,leave
foot,society,organization
west,admit,kid
ever,major,debate
also,lot,provide
behavior,he,woman
foreign,player,land
article,floor,race
down,subject,step
agree,coach,need
apply,charge,environment
so,use,quickly
resource,send,final
teacher,record,fill
prove,why,song
door,ball,worker
arrive,foreign,challenge
task,want,former
hear,suffer,issue
turn,author,speech
while,you,top
figure,ten,near
control,nearly,sport
stock,how,cell
western,community,discussion
daughter,this,clear
once,arm,arm
including,along,walk
as,yet,new
day,more,seat
hold,upon,care
idea,military,court
million,modern,tend
store,short,serve
produce,cultural,begin
development,traditional,care
baby,off,perform
necessary,something,him
bag,without,movement
audience,loss,according
listen,miss,person
more,book,remain
according,result,on
also,activity,expert
behind,or,life
civil,forward,rather
Republican,wait,natural
purpose,Mrs,provide
value,thus,structure
act,conference,base
job,leave,determine
concern,full,likely
improve,grow,here
keep,development,trip
side,computer,need
nothing,sea,side
his,prove,under
necessary,though,baby
support,make,main
within,area,everyone
treatment,less,black
shake,painting,improve
most,public,concern
reduce,situation,just
investment,Democrat,must
something,serve,language
mean,federal,structure
market,term,man
land,question,note
million,late,case
official,interest,that
admit,conference,house
because,world,production
section,ball,tough
recognize,learn,line
necessary,nice,outside
magazine,American,through
data,lawyer,process
fight,leave,cost
size,message,project
these,less,real
mother,technology,film
do,coach,rather
four,adult,away
it,join,concern
plan,determine,large
Republican,space,parent
we,entire,sister
worker,evening,gas
myself,anything,that
box,late,over
authority,morning,attention
share,reflect,address
increase,interest,lawyer
near,fact,quality
garden,reach,individual
possible,up,drive
south,cold,operation
not,before,major
against,statement,window
our,by,itself
son,condition,rock
add,discuss,open
outside,dog,now
guy,with,box
health,tend,many
another,prevent,again
bad,none,religious
actually,skill,ask
level,wonder,property
sell,protect,generation
reflect,federal,reflect
if,people,there
morning,often,music
head,produce,free
personal,take,when
improve,sometimes,yes
share,recent,rate
discover,floor,go
thought,report,race
myself,take,green
happen,out,perhaps
sound,look,around
suddenly,among,require
school,base,region
sure,still,make
finally,near,total
also,join,throughout
few,month,central
way,include,area
want,himself,thought
themselves,democratic,any
shake,heart,air
wait,will,than
film,particularly,church
side,since,could
information,treatment,however
stock,sell,sometimes
once,fight,one
real,position,population
against,without,nation
fast,black,so
while,approach,government
blue,investment,popular
later,tend,finally
shake,today,close
system,last,prepare
central,politics,weight
music,recently,cover
always,discuss,assume
information,need,left
media,chance,same
they,enjoy,high
drug,store,onto
few,industry,several
her,strategy,all
shake,middle,culture
high,everything,morning
effort,style,item
investment,enjoy,just
page,real,such
where,last,whom
family,meeting,until
lot,conference,another
city,source,professor
various,very,against
north,for,herself
pay,affect,by
the,head,source
model,indicate,off
police,official,military
executive,other,only
fine,accept,yeah
step,region,couple
study,also,book
somebody,exist,study
partner,our,fast
seat,form,material
energy,could,institution
lay,by,these
my,structure,else
those,up,throw
clearly,administration,risk
mouth,power,it
price,you,guy
she,effect,administration
commercial,reduce,official
where,power,happen
suffer,able,economic
according,hotel,want
scene,maintain,experience
too,current,course
federal,be,nearly
occur,protect,own
remember,vote,exactly
run,course,fly
whom,career,program
establish,middle,across
example,draw,enter
region,nice,hotel
ok,answer,plan
matter,remain,art
hour,front,country
raise,middle,serve
affect,bill,middle
food,affect,return
spend,step,despite
response,seem,coach
street,idea,outside
nothing,apply,wrong
fly,trouble,nothing
hope,stock,action
instead,difference,necessary
trouble,still,skill
owner,size,center
son,brother,organization
billion,purpose,so
reality,she,stand
it,meet,become
inside,strong,suggest
decision,car,how
if,newspaper,wish
behind,sell,degree
pull,new,tend
manage,choose,degree
baby,poor,event
assume,summer,far
information,moment,peace
population,pretty,guy
answer,condition,yourself
not,new,suddenly
purpose,fall,outside
again,garden,court
third,machine,teach
child,own,either
learn,along,hour
tough,side,deep
mind,financial,eat
mean,support,eat
bag,could,sound
nature,store,let
than,east,subject
call,rate,across
often,start,certainly
response,relate,safe
crime,candidate,skill
guess,couple,which
plan,specific,walk
store,eye,direction
police,evidence,animal
enjoy,difficult,option
line,nearly,training
like,doctor,field
treatment,wall,cold
kitchen,a,much
however,direction,act
reason,reduce,relationship
material,different,land
big,leader,challenge
sound,section,subject
door,much,behind
present,leg,idea
accept,city,rule
really,across,agency
four,foreign,reason
suffer,interesting,read
bar,low,role
stock,sit,ahead
card,baby,Democrat
generation,campaign,go
these,over,policy
TV,various,American
rest,partner,entire
travel,speak,might
change,cell,want
argue,middle,school
tonight,back,interesting
ten,property,serve
culture,they,sport
course,turn,tax
effort,hundred,lot
today,example,skill
girl,military,vote
fast,simply,three
foreign,culture,various
run,phone,believe
research,woman,lot
action,nearly,shake
man,to,nation
provide,point,feeling
few,key,indeed
prevent,war,car
condition,economic,collection
leader,move,church
image,art,leg
international,trial,manage
agreement,small,person
nor,today,amount
knowledge,hair,assume
girl,against,question
table,weight,send
wife,like,suffer
both,quality,walk
another,paper,man
word,news,up
training,situation,worry
turn,past,Mr
effect,exist,development
coach,security,early
check,rule,growth
region,none,participant
each,about,machine
