debtor_id,agent_id,times_contacted,last_contact_date
D001,CA001,3,2024-09-25
D002,CA002,2,2024-09-20
D003,CA003,4,2024-09-15
cold,market,22367,sometimes
stop,large,36295,story
garden,boy,11384,listen
expect,low,37129,show
describe,boy,67148,item
itself,face,32248,computer
theory,family,22055,better
throughout,green,720,fear
around,as,53587,no
fine,establish,35572,business
full,their,21732,difference
pass,Congress,74777,too
rise,career,83784,discuss
eight,whom,62173,throw
stock,career,33559,learn
son,middle,99094,group
on,reach,45028,traditional
matter,each,99895,hour
public,cost,90259,job
could,toward,93070,act
stay,red,90704,center
child,foot,55009,couple
identify,dog,21376,early
of,finally,56404,term
hot,condition,55581,chair
which,accept,56600,allow
future,debate,36161,although
Mr,not,65725,laugh
industry,morning,72720,town
cause,trouble,9803,many
serve,Congress,76431,artist
control,hope,37963,clear
first,price,18191,different
fish,why,42555,realize
expect,weight,45403,boy
use,add,91656,process
arm,activity,54490,represent
fire,government,34685,woman
may,where,58304,occur
mean,open,26771,institution
watch,business,93297,nothing
computer,your,4175,opportunity
particularly,beyond,17405,direction
among,play,46341,need
answer,kind,39465,sign
former,six,27975,a
if,couple,96443,really
week,contain,69083,low
over,serious,59755,your
stop,wall,60740,activity
probably,ago,25919,per
general,Mrs,88135,budget
box,message,65708,factor
success,outside,80564,step
think,training,3747,course
herself,by,15715,better
candidate,according,33178,national
air,energy,88730,show
stuff,deal,22052,national
anyone,themselves,51085,bag
official,claim,83972,medical
open,health,66543,since
production,threat,74727,describe
book,discover,57574,time
send,control,84657,type
eat,ahead,92468,board
election,bag,13266,personal
fill,near,20569,whether
expert,anyone,27019,professor
probably,defense,21681,indicate
reduce,health,13876,manage
hundred,war,5041,machine
because,tend,65044,industry
eight,exist,32521,piece
staff,even,39739,ready
assume,bad,6931,someone
enjoy,by,3212,range
hour,chance,42741,soldier
long,spend,7735,easy
cold,why,79732,plan
make,such,22650,method
truth,clearly,13255,one
fight,present,9576,operation
job,floor,31210,over
moment,thing,67660,reach
member,office,37666,decide
grow,because,43535,carry
top,recognize,41107,time
staff,east,40271,first
serve,even,82258,generation
scientist,but,86225,suggest
president,alone,45418,air
thus,change,69074,cause
suffer,new,99122,hair
very,look,32669,either
student,and,87166,total
administration,plan,15404,four
before,success,57965,lawyer
get,have,4601,herself
material,next,14944,somebody
choose,budget,70130,American
mean,low,25818,current
past,fear,38009,everyone
ground,bank,29660,receive
but,region,63139,think
style,church,6146,whose
better,dinner,36706,ok
ahead,far,37924,whether
never,sit,48917,compare
wide,degree,39583,ever
simply,skin,9274,particularly
something,consumer,20320,environment
right,build,77216,entire
physical,successful,85408,ground
through,game,3487,process
citizen,born,67343,bed
could,factor,33078,form
campaign,organization,59386,exactly
study,product,41680,hot
do,health,37594,head
life,institution,43723,point
story,letter,81859,yourself
would,garden,23073,travel
he,recently,31960,maintain
military,dark,92379,record
letter,professional,72633,physical
close,morning,84565,series
stay,beyond,52842,pressure
true,them,55201,hold
response,quickly,67595,begin
few,respond,56138,sort
cold,someone,81865,certainly
ask,worry,28222,leader
where,year,54573,each
carry,computer,78451,huge
particular,drug,23531,price
administration,hold,13376,unit
early,certainly,94661,threat
item,push,38588,in
picture,despite,47388,minute
indicate,red,50590,instead
risk,down,55857,summer
month,art,49384,business
Republican,yet,6019,learn
speech,door,34907,heart
machine,far,29747,attack
study,American,59379,major
skin,pressure,18400,local
yet,start,10583,office
yet,economy,71343,month
lead,strong,7157,sort
sure,paper,25603,finish
age,begin,61289,happen
at,product,74517,drop
sense,conference,68,range
fund,film,39564,air
together,join,52870,from
music,similar,44541,story
happy,age,56266,us
simply,movie,71180,mind
gun,all,89841,front
probably,fine,15751,customer
concern,on,97058,price
future,street,37335,why
international,yeah,76191,after
enough,light,90377,successful
south,tend,18526,type
material,own,54404,tend
rule,direction,49879,guess
race,enter,74343,per
effort,security,48762,religious
rule,become,116,cell
town,interest,20803,share
quality,hour,97845,small
ask,record,82764,visit
physical,house,39314,culture
store,big,48631,stand
relationship,stay,27737,campaign
page,heavy,1965,work
chair,upon,66876,approach
might,relationship,19574,responsibility
travel,less,97915,individual
participant,gun,11189,along
development,must,37043,once
upon,camera,18733,chance
data,will,70791,let
at,herself,30246,us
read,address,28086,evidence
blood,big,79949,production
exactly,inside,65573,color
indeed,college,5740,miss
third,me,4691,east
stage,visit,6588,care
modern,white,35576,enough
she,describe,53105,program
nor,wait,54272,outside
control,our,16522,sell
put,push,15548,tell
serious,appear,49114,against
player,theory,23028,herself
practice,hair,92592,clearly
reason,even,67311,clear
hard,bank,6904,risk
security,lose,57541,specific
professor,so,80072,amount
professional,mind,21083,hospital
month,trip,31884,exist
sure,attorney,58614,only
TV,light,97431,program
indeed,heavy,58969,dark
level,campaign,52807,organization
far,continue,57026,cup
wonder,remember,17292,go
tonight,where,96234,kitchen
yet,pretty,98458,outside
recently,because,62799,end
near,but,64410,give
election,sometimes,55126,feeling
them,life,74766,above
never,summer,89703,visit
know,past,10498,make
science,effect,70068,together
feeling,executive,57948,never
weight,hot,19751,officer
turn,option,66097,budget
scene,behavior,44025,magazine
strategy,thought,54618,born
brother,nation,13133,out
expect,number,65338,yes
relate,it,20859,bag
sometimes,most,12239,game
about,parent,94957,debate
table,TV,48207,wear
number,social,23609,list
contain,how,26186,keep
general,mean,44718,government
this,leader,53147,identify
stand,together,43189,assume
can,again,28030,road
stage,brother,52096,product
environment,field,58240,under
daughter,democratic,66828,network
popular,they,36976,sign
issue,machine,77494,music
board,rise,25038,reality
part,debate,33162,laugh
sometimes,reveal,87131,quickly
executive,another,47764,unit
fine,agent,84739,final
