contact_id,date,method,notes,outcome
C001,2024-09-18,phone,Spoke about repayment plan,promise to pay
C002,2024-09-19,email,Sent payment reminder,no answer
C003,2024-09-21,SMS,Sent SMS reminder,promise to pay
as,create,short,deep,possible
trouble,morning,whose,training,suffer
effect,child,medical,commercial,history
usually,nation,arrive,good,become
cultural,word,decade,play,animal
population,president,design,situation,citizen
perhaps,speech,card,soon,feeling
bag,expect,either,above,light
direction,technology,table,many,when
explain,sometimes,later,set,on
majority,value,oil,whose,performance
white,girl,Democrat,religious,street
certain,sea,rule,material,finish
reality,car,power,minute,hospital
remain,nice,your,provide,behavior
administration,happy,economic,bring,strong
science,participant,reach,add,none
recognize,your,else,season,trouble
process,education,type,across,cause
economic,let,rise,improve,explain
kitchen,east,least,consider,performance
discussion,road,moment,father,court
make,positive,manage,if,great
Democrat,form,focus,different,low
fund,travel,sing,road,her
house,paper,marriage,through,cup
move,note,sure,could,this
according,explain,live,stage,pattern
policy,everyone,share,site,surface
yard,almost,seven,staff,a
first,new,price,win,unit
though,first,two,goal,hold
dream,company,certainly,place,opportunity
enjoy,off,understand,guy,leader
dog,now,note,police,item
turn,receive,if,by,rate
treat,all,town,debate,difference
account,get,continue,no,require
factor,recognize,young,write,account
card,recognize,although,believe,rise
government,two,you,different,election
management,trade,mind,total,Democrat
watch,sort,against,kid,decade
country,want,produce,ask,television
speech,resource,although,wife,decade
strong,image,in,cup,style
lose,special,music,action,buy
director,plant,return,yet,indicate
already,always,military,analysis,population
sometimes,production,box,name,attention
that,us,right,see,training
Mr,own,describe,assume,usually
whatever,occur,quickly,doctor,personal
political,later,first,peace,worry
near,area,agree,modern,guy
woman,suggest,PM,authority,parent
give,argue,reality,lose,other
trouble,east,family,when,skin
social,situation,strategy,talk,science
serve,talk,decide,late,office
environment,item,forget,social,them
expert,whether,wall,baby,actually
him,court,animal,admit,star
modern,painting,car,allow,her
station,answer,recently,common,American
military,every,yard,hold,pattern
sort,all,choose,organization,do
never,large,you,others,seek
get,thousand,produce,parent,law
middle,fall,government,instead,be
produce,response,offer,offer,out
attorney,market,away,national,stay
plan,close,cause,great,oil
vote,put,lay,trip,member
never,tree,item,building,off
tonight,sound,floor,when,right
especially,responsibility,stop,Democrat,behavior
star,whole,speak,task,easy
remember,dog,thank,network,dinner
goal,in,sure,art,story
century,concern,dog,relationship,box
past,accept,throw,thought,suddenly
financial,I,around,town,senior
article,recognize,sound,play,enjoy
six,box,hospital,career,appear
possible,land,much,chance,between
building,determine,available,dinner,from
parent,difficult,art,about,garden
medical,catch,yet,structure,score
yet,time,occur,final,next
writer,number,range,Republican,left
it,exist,if,body,major
whose,suggest,room,huge,send
action,only,change,responsibility,traditional
west,easy,state,suddenly,country
practice,son,expect,event,not
job,know,say,ever,including
chance,once,shoulder,interest,tonight
inside,perhaps,institution,early,need
room,yeah,authority,image,matter
what,customer,site,age,seat
meet,trade,piece,second,ahead
imagine,bank,while,me,tend
along,never,year,decide,about
fish,sure,almost,language,opportunity
reality,again,toward,government,their
else,set,chair,wait,current
natural,also,figure,let,exist
carry,manager,outside,yet,bit
very,evening,final,science,investment
put,minute,include,book,movement
worker,force,whole,since,care
one,where,factor,claim,along
certain,cover,threat,become,good
now,whatever,together,accept,once
door,pressure,much,response,especially
ability,politics,phone,see,society
challenge,subject,pattern,detail,it
these,series,wait,police,door
through,simply,of,dog,respond
nor,stop,appear,choice,pay
scene,statement,marriage,hot,until
medical,early,heart,major,organization
forward,operation,happy,reveal,save
fill,nor,bed,practice,power
network,drug,gun,chance,he
tend,unit,nice,level,wonder
expect,question,condition,ask,realize
area,safe,no,begin,rest
Republican,know,TV,consumer,above
hot,best,imagine,several,represent
question,buy,son,we,change
administration,bad,big,maybe,century
window,scene,us,message,civil
soon,health,remember,environmental,manager
service,our,Mr,we,finish
hundred,music,purpose,film,from
rock,side,fire,rise,food
nor,spring,short,full,Congress
early,wrong,get,compare,make
peace,necessary,animal,nothing,relationship
art,daughter,human,under,education
ten,on,dark,coach,raise
on,right,measure,hit,he
budget,generation,writer,close,magazine
financial,various,wish,cut,threat
line,arrive,range,power,pay
huge,answer,full,experience,impact
reality,people,toward,approach,kind
skin,minute,turn,country,cost
family,yard,over,box,ok
Mrs,computer,character,member,ability
spend,clear,light,finish,read
international,late,wrong,list,cell
debate,want,past,common,radio
free,until,beautiful,everything,arm
writer,office,system,yourself,training
own,student,son,its,base
should,thing,gun,everything,book
remember,head,successful,help,notice
rate,add,executive,suffer,top
area,operation,size,ahead,base
trade,in,feel,letter,determine
movement,nothing,ball,eat,piece
course,election,however,religious,attention
your,explain,method,his,front
work,medical,rather,politics,pull
close,yard,could,off,baby
year,create,director,upon,free
arm,draw,bring,speak,recognize
discuss,race,deep,clear,statement
remain,development,charge,serve,continue
table,none,cell,at,speak
stage,story,cold,everyone,perform
under,firm,six,whose,add
key,pressure,act,attack,plant
fight,national,nice,always,capital
still,deal,yeah,professional,specific
later,ground,place,war,shake
month,market,cup,must,room
science,range,piece,somebody,her
product,figure,radio,gun,act
seven,simple,civil,event,gas
best,blood,factor,phone,pattern
modern,school,benefit,still,support
paper,appear,exactly,both,tonight
little,various,voice,bit,room
tell,degree,teacher,shoulder,up
because,case,may,three,group
baby,compare,class,speak,then
unit,than,well,eight,despite
official,remember,from,worry,beat
discover,social,important,moment,sure
actually,painting,support,this,make
student,realize,grow,child,begin
several,finish,account,relate,identify
herself,before,beyond,gas,hospital
year,happy,alone,adult,yard
agency,father,modern,ago,wish
lose,before,town,watch,miss
issue,side,after,apply,once
discover,health,hospital,cold,trade
difficult,model,beat,on,war
seek,benefit,voice,company,clear
big,than,officer,site,conference
subject,industry,visit,up,must
guy,over,yourself,he,save
fine,become,item,former,quickly
ability,technology,industry,choose,if
challenge,seem,coach,accept,air
everything,interesting,wrong,wide,never
allow,push,central,often,level
trouble,return,minute,determine,per
he,style,own,whatever,argue
while,simply,language,cut,reach
miss,without,very,author,suffer
commercial,just,now,lot,fund
environment,political,finish,part,goal
plant,system,represent,might,leg
per,doctor,camera,why,outside
learn,sit,treatment,law,arrive
best,country,improve,beat,himself
along,across,significant,call,evidence
do,cell,word,these,mouth
environment,system,fast,seek,speak
father,value,matter,quite,recently
ever,up,likely,quality,to
attention,everyone,teach,entire,yet
resource,least,produce,analysis,drive
usually,real,prevent,bag,news
specific,good,plan,thing,public
lot,page,art,imagine,animal
agency,government,after,director,give
during,late,woman,box,modern
fine,company,factor,you,part
charge,specific,huge,weight,risk
ready,join,feeling,available,again
beautiful,wind,property,property,cost
step,line,black,when,discover
manage,brother,building,stuff,none
market,reach,player,position,fact
conference,hope,manager,campaign,oil
officer,act,station,same,whose
most,effect,seven,wall,fund
history,art,instead,compare,cost
push,charge,American,body,country
here,person,this,argue,story
others,despite,natural,interesting,sign
step,member,ago,suffer,cold
high,arm,charge,speech,site
model,computer,single,class,shake
choice,sound,present,long,voice
almost,if,same,six,star
professional,thank,despite,middle,difference
industry,watch,decision,camera,model
quite,college,middle,assume,leave
big,girl,local,he,glass
join,each,win,marriage,let
letter,however,ground,agreement,authority
would,sit,hospital,five,visit
long,buy,audience,section,question
responsibility,study,cell,anything,plan
finish,like,once,light,compare
close,six,area,inside,action
power,follow,heavy,require,for
answer,center,continue,great,social
different,sign,city,protect,discussion
know,ready,piece,his,present
rather,accept,debate,season,perhaps
share,still,over,assume,compare
mission,see,yard,lot,current
receive,standard,open,act,usually
someone,investment,the,knowledge,week
example,financial,south,poor,others
body,somebody,training,value,service
human,too,bring,evening,wind
type,feeling,call,yard,follow
there,federal,democratic,month,pretty
consumer,eye,lose,task,then
writer,life,skin,discuss,person
ten,language,popular,represent,news
else,hotel,seek,marriage,real
mouth,center,nation,first,best
those,stuff,drive,really,some
admit,make,specific,religious,size
impact,training,education,ground,white
very,goal,difficult,building,agent
imagine,travel,oil,difficult,nothing
start,out,same,magazine,or
fly,thus,model,base,house
try,dark,energy,full,much
painting,degree,leg,parent,discuss
over,place,learn,keep,question
thousand,hope,chair,provide,where
anything,look,necessary,beautiful,country
condition,wish,nearly,Republican,partner
whole,example,research,instead,store
nothing,no,wish,around,let
production,result,bar,past,dinner
program,spring,buy,scene,ok
information,vote,worker,song,between
night,would,moment,three,long
support,reflect,prepare,claim,at
someone,full,life,official,cut
at,score,man,main,pay
bit,bed,per,hour,customer
hot,among,heart,spring,amount
cultural,shake,minute,fly,program
wonder,go,adult,agent,know
ok,base,land,reality,training
shoulder,finish,physical,address,break
end,total,including,decade,difficult
phone,small,appear,support,off
discuss,determine,board,as,gas
source,value,pressure,article,admit
notice,child,yard,figure,left
force,force,long,might,claim
easy,candidate,expert,center,forward
as,these,despite,those,hot
career,however,finish,fall,general
out,year,step,stock,consider
help,seat,week,different,smile
outside,body,public,magazine,team
half,how,hard,lose,social
statement,every,million,leave,tend
scene,black,person,worry,big
tell,truth,after,you,degree
network,reveal,capital,bring,than
economy,difference,on,around,note
once,drop,real,reason,all
create,edge,evening,create,eye
person,short,nature,one,property
increase,usually,easy,type,treatment
across,weight,road,of,will
pay,kind,technology,partner,city
outside,control,chair,dark,ten
land,statement,common,federal,chair
suddenly,writer,son,memory,several
alone,change,take,do,role
business,gas,activity,high,special
current,focus,almost,fast,recently
go,read,stand,product,clearly
sit,service,account,agreement,do
military,chair,defense,and,decide
trip,from,picture,bag,various
a,economy,soon,doctor,wrong
three,magazine,however,expect,full
debate,rule,catch,rock,prove
suddenly,friend,phone,establish,degree
industry,face,view,modern,star
by,evidence,authority,affect,safe
spring,property,wind,ready,memory
network,indicate,tough,direction,nothing
maintain,benefit,story,power,gun
yet,management,now,involve,outside
car,food,result,shoulder,town
like,space,happy,development,of
then,might,different,whose,work
real,low,too,recent,mouth
tonight,young,theory,body,court
kind,look,read,interview,purpose
street,provide,suffer,door,offer
war,generation,look,plant,address
enter,resource,population,party,here
evening,off,central,left,put
cold,nation,grow,town,none
nearly,account,low,teach,eye
operation,subject,skin,everybody,husband
western,sit,institution,moment,value
read,notice,option,less,hot
board,huge,it,star,bad
official,huge,teach,over,artist
mission,glass,half,ago,when
those,already,throw,population,necessary
bank,history,world,property,car
pull,finally,shake,describe,month
approach,seek,pay,account,game
color,account,blue,right,in
region,field,through,ahead,give
such,activity,television,remember,remember
nothing,region,tax,throughout,on
stuff,could,strategy,instead,small
myself,visit,people,president,enough
dream,lot,better,role,letter
stop,believe,receive,role,treatment
front,work,decide,last,build
cultural,window,seem,win,other
that,conference,group,example,game
focus,true,could,doctor,trial
common,enter,charge,at,anyone
life,wind,why,letter,treat
any,dream,school,industry,message
decision,hit,purpose,government,recognize
beautiful,ok,be,top,you
piece,nothing,most,upon,school
hundred,trade,TV,understand,he
community,air,consumer,knowledge,score
research,population,fish,between,season
hot,become,south,dark,eye
fish,it,paper,win,support
serious,nothing,alone,write,part
quite,ago,reach,capital,imagine
issue,within,yet,catch,fight
agency,ask,short,my,reach
ask,through,plan,fall,church
summer,month,detail,less,game
tax,read,officer,for,character
stop,song,worker,alone,central
letter,history,they,have,collection
option,answer,country,game,stock
time,partner,pretty,dream,the
star,good,dream,capital,nice
move,within,chair,minute,space
course,statement,minute,face,notice
report,list,maintain,born,hold
respond,morning,clear,hand,purpose
order,public,even,democratic,do
woman,wind,between,character,impact
as,article,one,arm,election
next,stop,last,career,politics
toward,family,tonight,page,whom
beat,base,director,allow,do
painting,officer,should,at,hold
long,believe,number,high,poor
teacher,chance,discover,those,civil
statement,way,person,serve,president
design,strong,everybody,ground,explain
hard,despite,when,commercial,factor
lay,other,kitchen,hold,fund
president,pull,camera,animal,reveal
source,stop,truth,four,wrong
training,call,peace,hope,argue
gun,better,environment,character,standard
capital,ten,beat,tough,table
left,local,investment,page,course
figure,line,happen,month,computer
keep,region,something,offer,decide
strong,strategy,growth,north,sense
attention,black,dark,entire,protect
thus,as,energy,safe,else
ever,choose,set,stand,start
prevent,blood,region,positive,word
would,president,dark,small,next
Democrat,market,point,network,commercial
clear,rise,law,state,democratic
family,green,picture,never,manager
even,simple,control,guy,staff
social,wide,quality,three,none
ready,information,fact,staff,TV
economic,green,together,into,loss
how,their,then,wait,down
air,situation,offer,forward,bag
throughout,successful,music,bank,reality
campaign,thus,meet,idea,modern
together,candidate,able,girl,upon
already,say,indicate,us,charge
determine,whether,enough,office,garden
