debtor_id,payment_id
D001,P001
D002,P002
D003,P003
center,morning
parent,will
issue,themselves
significant,fund
across,father
small,white
road,with
debate,name
yard,without
suddenly,PM
age,mention
behavior,throw
condition,but
than,play
section,tell
another,gun
physical,administration
difference,allow
policy,me
degree,best
people,year
entire,their
operation,stay
thought,project
scientist,fish
tend,attention
time,ago
somebody,rise
ago,late
true,management
wide,soon
season,leg
prevent,evidence
benefit,country
network,wife
return,per
western,truth
also,rather
people,stand
energy,traditional
provide,them
plant,boy
modern,recognize
walk,actually
finish,role
card,discuss
lot,choice
evidence,finish
member,budget
early,ever
enough,human
instead,teach
old,would
cold,local
rate,reason
he,million
one,society
lay,car
trip,popular
trip,future
question,experience
meeting,appear
continue,yet
dinner,hard
study,onto
consider,argue
without,size
general,front
smile,decade
word,two
interesting,recently
building,kid
prepare,long
stuff,Republican
environment,wonder
reach,everybody
front,more
can,cell
same,factor
left,south
culture,save
suggest,station
necessary,property
person,middle
speak,not
mother,yet
loss,site
follow,office
house,reason
necessary,week
we,treat
law,group
house,as
believe,pressure
decade,action
bring,sense
instead,do
them,son
near,question
make,read
offer,I
avoid,road
herself,maintain
ten,group
laugh,money
newspaper,as
season,station
note,without
without,project
give,site
consumer,similar
her,participant
think,painting
site,by
rule,black
chance,movement
return,study
southern,soldier
will,instead
station,walk
generation,accept
dog,magazine
management,worry
those,which
quite,design
four,culture
half,direction
standard,crime
lawyer,sound
hit,east
far,provide
walk,month
cover,time
record,conference
wear,Mrs
health,speech
attention,last
far,become
offer,across
evidence,along
wife,over
standard,where
month,poor
check,sister
low,my
well,eye
from,receive
public,which
source,those
help,another
network,it
give,official
appear,purpose
water,goal
shake,president
per,itself
according,language
person,group
star,view
least,raise
make,war
large,some
Mrs,those
part,back
individual,consider
wait,trial
someone,network
generation,another
lose,near
board,weight
discover,again
hair,see
year,subject
friend,finish
wait,candidate
author,official
foot,ball
environmental,because
its,military
surface,marriage
center,like
military,scene
long,song
dark,who
crime,project
election,possible
practice,your
analysis,report
response,media
production,summer
health,without
back,cover
result,ok
meeting,happen
laugh,herself
sort,before
issue,camera
study,off
notice,kitchen
think,able
I,article
of,rise
perform,seek
year,consider
range,security
base,occur
growth,point
baby,policy
always,company
new,knowledge
computer,degree
institution,game
star,word
collection,among
difference,lose
country,family
share,design
bed,adult
plant,toward
decide,listen
nice,campaign
any,nor
candidate,able
pass,adult
help,measure
right,add
nor,sound
situation,pass
how,themselves
sign,sell
bit,feel
child,others
