payment_id,agent_id
P001,CA001
P002,CA002
P003,CA003
bad,happen
fine,establish
finish,budget
per,offer
project,our
ahead,very
crime,especially
follow,general
half,serve
plant,writer
discussion,Democrat
defense,event
enter,quality
billion,nature
south,itself
concern,stand
seem,land
travel,Mrs
race,fire
new,own
war,experience
appear,itself
friend,statement
compare,trip
ten,religious
their,business
capital,animal
try,investment
family,adult
crime,lay
tell,career
fast,sell
common,day
food,conference
important,local
music,practice
machine,single
anything,like
radio,able
agreement,state
street,voice
common,of
level,reveal
identify,reason
east,on
knowledge,court
since,series
indeed,this
conference,card
attack,commercial
second,establish
development,maintain
room,would
great,outside
letter,enjoy
show,international
water,wall
resource,choice
lay,as
in,attorney
movie,meeting
friend,assume
opportunity,yes
machine,either
line,exactly
avoid,deal
threat,name
theory,itself
they,eat
attention,right
his,industry
moment,force
section,enter
fire,partner
challenge,never
manage,everyone
responsibility,to
off,interesting
alone,learn
city,affect
affect,employee
activity,network
run,benefit
whole,though
despite,almost
east,news
set,resource
small,me
almost,wear
whole,may
beyond,enjoy
likely,scientist
foreign,degree
interesting,raise
land,live
sense,position
their,audience
tonight,stuff
girl,someone
mention,do
effect,set
lot,within
though,drop
off,concern
need,cut
sell,listen
such,with
safe,feeling
investment,discussion
defense,stock
nature,memory
support,popular
power,building
forget,impact
determine,rather
ahead,receive
late,wall
us,oil
onto,community
others,born
consumer,choice
inside,yard
radio,mother
daughter,discuss
resource,address
evidence,hot
Mr,day
admit,sport
marriage,wind
citizen,allow
state,while
support,situation
coach,discussion
traditional,debate
though,those
simple,a
discussion,Congress
director,a
our,marriage
all,research
ability,true
none,take
perform,bar
imagine,art
act,week
approach,usually
professor,bit
agency,away
school,energy
work,better
range,piece
who,may
thought,federal
federal,stop
research,result
hair,alone
system,season
subject,positive
here,play
rule,marriage
perform,they
give,well
public,performance
dinner,factor
sea,woman
decision,important
store,line
democratic,large
red,want
adult,every
something,material
exactly,ten
ago,quickly
low,direction
memory,be
western,available
offer,difficult
question,learn
wish,according
fly,hot
stay,especially
each,certain
especially,worker
ago,all
unit,chance
million,door
challenge,brother
well,though
rule,almost
peace,security
author,rich
speak,create
friend,enjoy
should,though
war,anything
himself,significant
prove,detail
dinner,stand
country,financial
within,deal
learn,less
together,send
friend,reason
statement,behind
evidence,bed
left,both
military,speech
outside,show
can,whole
message,resource
another,no
environment,scientist
skin,often
think,can
many,impact
professor,best
suggest,throw
source,sort
read,until
environmental,per
call,heart
local,main
computer,memory
four,ago
detail,age
among,too
during,important
certainly,keep
call,language
recognize,wonder
deep,factor
cut,station
medical,project
charge,ok
investment,summer
visit,term
authority,health
model,notice
heavy,exist
recently,good
cold,help
avoid,those
reveal,scientist
age,these
oil,red
attention,dog
chair,if
dark,pick
production,soon
note,stay
you,hospital
beautiful,Congress
nice,should
specific,special
couple,leader
direction,realize
send,public
what,seat
institution,book
defense,should
foot,respond
continue,mission
north,market
ahead,guess
picture,as
gun,officer
them,stuff
fill,head
nearly,source
order,current
sure,sort
seven,production
office,right
free,artist
number,want
affect,son
central,behavior
effort,wrong
blue,like
hold,adult
suddenly,you
site,little
great,sea
chair,natural
mind,concern
six,you
point,else
price,color
suffer,daughter
beautiful,bed
chair,and
show,raise
woman,out
throughout,station
employee,realize
around,finally
happen,right
begin,thing
know,soldier
particularly,a
better,indeed
view,direction
father,education
suddenly,too
benefit,evidence
try,draw
evening,ground
rest,manage
political,order
rate,strong
past,apply
born,even
town,team
a,Democrat
marriage,explain
candidate,else
growth,when
face,major
usually,speak
detail,until
past,ok
education,even
oil,home
also,improve
party,plan
another,field
sound,able
yard,item
company,add
expect,peace
especially,story
to,these
its,up
bar,travel
money,both
explain,view
offer,head
finally,home
decade,main
and,west
series,her
investment,soldier
itself,story
turn,staff
these,story
set,court
data,think
vote,operation
letter,general
tree,picture
together,product
key,improve
also,social
social,south
civil,leader
glass,within
too,industry
support,team
name,loss
later,reflect
smile,window
official,campaign
offer,American
chair,clearly
thing,only
wonder,tend
short,special
local,collection
spend,already
box,commercial
human,energy
lawyer,on
change,everything
drug,wear
play,herself
daughter,figure
dream,off
difficult,same
stock,money
